Extern;Intern;Text
Alles für Kiddies;SC208;Spielwaren
Draußen vor der Tür;SC299;sonst. Handwerk
Entspannung;SC299;sonst. Handwerk
Fair Fashion;SC399;sonst. Bekleidung
Freizeit und Hobby;SC208;Spielwaren
Für Körper und Seele;SC213;Kosmetik/Seife
Geschenkartikel;SC299;sonst. Handwerk
Getränke;SC109;Getränke (nichtalkoholisch)
Glas und Keramik;SC206;Keramik
Kaffee;SC103;Kaffee
Kunst der Völker;SC299;sonst. Handwerk
Mahlzeit;SC199;sonst. Lebensmittel
Musik und Instrumente;SC202;Musikinstrumente
Muster;SC299;sonst. Handwerk
Papeterie;SC499;sonst. Schreibwaren
Schmuck;SC204;Schmuck
Snacks;SC104;Knabberprodukte
Spielwaren;SC208;Spielwaren
Taschen und Körbe;SC205;Lederwaren
Tee;SC102;Tee
Tisch und Küche;SC212;Wohntextilien
Wohnideen;SC210;Möbel
